측정소명,년/월/일,회차,수심(m),수온(℃),DO(㎎/L),BOD(㎎/L),COD(㎎/L),클로로필 a(㎎/㎥),TN(㎎/L),TP(㎎/L),TOC(㎎/L),수소이온농도,페놀류(㎎/L),전기전도도(μS/㎝),총대장균군수(총대장균군수/100ml),카드뮴(㎎/L),시안(㎎/L),납(㎎/L),6가크롬(㎎/L),비소(㎎/L),수은(㎎/L),구리(㎎/L),아연(㎎/L),크롬(㎎/L),니켈(㎎/L),바륨(㎎/L),셀레늄(㎎/L),용존총질소(㎎/L),암모니아성 질소(㎎/L),질산성 질소(㎎/L),용존총인(㎎/L),인산염인(㎎/L),SS(㎎/L),헥사클로로벤젠 (㎍/L),분원성대장균군수,불소(㎎/L),색도(㎎/L),노말헥산추출물질(㎎/L),용해성망간(㎎/L),용해성철(㎎/L),음이온계면활성제(㎎/L),테트라클로로에틸렌(㎎/L),테트라클로로에틸렌(㎎/L).1,사염화탄소,1.2-디클로로에탄(㎎/L),디클로로메탄(㎎/L),벤젠(㎎/L),폴리크로리네이티트비페닐(㎎/L),유기인(㎎/L),안티몬 (㎎/L),클로로포름 (㎎/L),디에틸헥실프탈레이트 (㎎/L),1.4-다이옥세인 (㎎/L),투명도(m),유량(㎥/s),포름알데히드(㎎/L)
승촌보,2012-08-08,1회차,,31.5,9.4,7.2,11.4,100.3,3.009,0.13699999999999998,6.8,8.8,0.0,236,14000,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2.8930000000000002,1.0759999999999998,1.109,0.079,0.07400000000000001,19.5,,740,,,,,,0.0,,,,,,,,,,,,,,39.021,
죽산보,2012-08-13,1회차,,28.9,5.7,6.6,7.6,62.3,3.1710000000000003,0.17,4.4,7.4,0.0,259,800,,,,,,,,,,,,,3.0260000000000002,1.095,1.165,0.135,0.11800000000000001,10.8,,42,,,,,,,,,,,,,,,,,,,,,
승촌보,2012-08-14,2회차,,27.3,4.0,5.0,8.2,26.4,2.7030000000000003,0.157,5.3,6.4,0.0,202,56000,,,,,,,,,,,,,2.627,1.183,0.9359999999999999,0.15,0.14300000000000002,23.1,,19600,,,,,,,,,,,,,,,,,,,,76.285,
승촌보,2012-08-23,3회차,,26.4,6.0,3.2,8.1,13.4,2.3209999999999997,0.14800000000000002,4.5,7.2,0.0,168,40000,,,,,,,,,,,,,2.282,0.764,1.068,0.145,0.14,15.8,,7200,,,,,,,,,,,,,,,,,,,,102.111,
승촌보,2012-08-27,4회차,,26.7,6.7,3.2,6.4,9.0,2.535,0.10099999999999999,3.4,6.3,0.0,171,30000,,,,,,,,,,,,,2.524,0.048,2.185,0.098,0.08800000000000001,11.1,,5400,,,,,,,,,,,,,,,,,,,,84.375,
죽산보,2012-09-03,1회차,,25.9,8.2,1.3,4.5,9.9,2.5669999999999997,0.094,2.8,6.5,0.0,101,4000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,2.56,0.21600000000000003,1.9140000000000001,0.065,0.055,16.4,,730,,,,,,0.0,,,,,,,,,,,,,,,
승촌보,2012-09-04,1회차,,24.9,7.7,1.2,5.7,7.1,2.052,0.04,2.3,7.3,0.0,121,19850,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.784,0.109,1.514,0.036000000000000004,0.033,12.3,,800,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,137.889,
승촌보,2012-09-11,2회차,,23.7,8.7,1.7,5.4,4.9,2.635,0.095,2.7,7.8,0.0,151,11400,,,,,,,,,,,,,2.505,0.5429999999999999,1.621,0.091,0.08800000000000001,3.6,,2800,,,,,,,,,,,,,,,,,,,,93.882,
승촌보,2012-09-18,3회차,,20.2,9.3,1.7,5.8,5.1,1.774,0.08199999999999999,2.9,7.5,0.0,91,60000,,,,,,,,,,,,,1.7169999999999999,0.131,1.177,0.075,0.064,24.0,,8600,,,,,,,,,,,,,,,,,,,,325.944,
승촌보,2012-09-25,4회차,,23.0,9.6,2.5,5.2,25.7,3.275,0.06,2.2,7.2,0.0,199,3450,,,,,,,,,,,,,3.27,0.48,2.452,0.039,0.024,5.0,,600,,,,,,,,,,,,,,,,,,,,26.535,
승촌보,2012-10-02,1회차,,21.1,10.7,2.7,5.9,34.6,2.8739999999999997,0.053,2.6,7.2,0.0,216,1760,,,,,,,,,,,,,2.821,0.47,1.9369999999999998,0.017,0.005,7.4,,500,,,,,,,,,,,,,,,,,,,,26.653000000000002,
승촌보,2012-10-08,2회차,,21.3,11.7,3.9,6.9,43.2,3.363,0.037000000000000005,3.1,7.1,0.0,255,1560,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3.025,0.48,2.349,0.016,0.003,7.2,,220,,,,,,0.0,,,,,,,,,,,,,,20.916999999999998,
죽산보,2012-10-15,1회차,,20.0,10.7,2.3,5.9,50.1,3.304,0.036000000000000004,3.6,8.1,0.0,274,1200,,,,,,,,,,,,,3.279,0.303,2.6639999999999997,0.018000000000000002,0.003,10.4,,70,,,,,,,,,,,,,,,,,,,,,
승촌보,2012-10-16,3회차,,18.7,11.4,4.8,7.2,86.9,4.395,0.045,4.6,7.2,0.0,297,555,,,,,,,,,,,,,3.783,0.342,3.214,0.019,0.005,9.3,,135,,,,,,,,,,,,,,,,,,,,10.395999999999999,
승촌보,2012-10-24,4회차,,17.2,7.2,4.0,6.8,16.0,3.637,0.165,4.1,7.1,0.0,192,10000,,,,,,,,,,,,,3.3789999999999996,1.23,1.5819999999999999,0.128,0.11699999999999999,12.8,,7700,,,,,,,,,,,,,,,,,,,,15.075999999999999,
승촌보,2012-10-30,5회차,,16.5,7.5,2.3,5.9,12.4,2.6060000000000003,0.10300000000000001,3.6,6.9,0.0,208,3000,,,,,,,,,,,,,2.543,0.516,1.733,0.086,0.08,6.8,,600,,,,,,,,,,,,,,,,,,,,17.625,
승촌보,2012-11-08,1회차,,15.0,8.1,3.5,7.4,21.0,5.749,0.13699999999999998,5.2,7.2,0.0,338,6200,,,,,,,,,,,,,5.599,2.077,3.2289999999999996,0.107,0.10099999999999999,4.2,,890,,,,,,,,,,,,,,,,,,,,10.819,
죽산보,2012-11-12,1회차,,12.9,10.6,1.3,5.8,47.9,4.513999999999999,0.09699999999999999,3.4,7.5,0.0,307,600,,,,,,,,,,,,,4.216,0.359,3.239,0.046,0.031,10.0,,190,,,,,,,,,,,,,,,,,,,,,
승촌보,2012-11-12,2회차,,14.2,8.9,3.2,6.4,24.1,5.598,0.086,3.8,7.2,0.0,374,2600,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,5.455,1.214,4.022,0.057999999999999996,0.049,5.2,,390,,,,,,0.0,,,,,,,,,,,,,,22.881999999999998,
승촌보,2012-11-20,3회차,,10.8,7.7,3.0,6.7,14.1,4.876,0.154,3.8,7.3,0.0,315,9000,,,,,,,,,,,,,4.843,1.858,2.347,0.13,0.11599999999999999,6.1,,830,,,,,,,,,,,,,,,,,,,,20.993000000000002,
승촌보,2012-11-28,4회차,,9.3,11.7,2.3,5.8,14.8,5.09,0.071,3.3,7.5,0.0,378,6200,,,,,,,,,,,,,5.058,1.5759999999999998,3.364,0.039,0.027000000000000003,5.9,,120,,,,,,,,,,,,,,,,,,,,14.854000000000001,
승촌보,2012-12-04,1회차,,8.1,11.1,2.7,6.4,23.9,5.902,0.08,3.6,7.6,0.0,283,1320,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,5.794,1.6640000000000001,3.4539999999999997,0.036000000000000004,0.024,7.1,,80,,,,,,0.0,,,,,,,,,,,,,,13.770999999999999,
승촌보,2012-12-12,2회차,,4.5,11.6,4.5,7.4,14.0,5.557,0.18600000000000003,3.9,7.1,0.0,420,15200,,,,,,,,,,,,,5.34,2.011,3.0980000000000003,0.134,0.098,8.1,,520,,,,,,,,,,,,,,,,,,,,15.264000000000001,
승촌보,2012-12-17,3회차,,6.8,11.1,3.4,6.4,6.0,4.011,0.11699999999999999,3.8,7.3,0.0,324,12400,,,,,,,,,,,,,3.987,1.011,2.425,0.092,0.075,14.6,,9400,,,,,,,,,,,,,,,,,,,,32.285,
죽산보,2012-12-24,1회차,,4.4,13.7,1.0,5.1,5.6,4.713,0.096,3.7,7.4,0.0,337,3800,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,4.513999999999999,0.935,2.986,0.08,0.07400000000000001,4.0,,175,,,,,,0.0,,,,,,,,,,,,,,,
승촌보,2012-12-26,4회차,,3.7,14.4,3.3,6.1,3.5,5.257999999999999,0.165,3.3,7.1,0.0,335,16400,,,,,,,,,,,,,5.1080000000000005,2.019,2.898,0.115,0.105,8.2,,1300,,,,,,,,,,,,,,,,,,,,19.292,
승촌보,2013-01-04,1회차,,3.1,10.8,3.1,6.4,4.1,6.4239999999999995,0.159,4.2,7.1,0.0,439,6200,,,,,,,,,,,,,6.244,2.5780000000000003,3.133,0.124,0.11199999999999999,4.6,,280,,,,,,,,,,,,,,,,,,,,15.764000000000001,
죽산보,2013-01-07,1회차,,2.8,15.8,1.8,4.9,14.4,5.376,0.113,2.8,6.9,0.0,602,300,,0.0,,,,,,,,,,,5.319,1.6769999999999998,3.352,0.085,0.051,4.0,,10,,,,,,,,,,,,,,,,,,,,,
승촌보,2013-01-10,2회차,,3.4,11.7,3.0,6.5,4.9,7.325,0.12300000000000001,4.6,7.3,0.0,442,3800,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7.1160000000000005,3.4730000000000003,3.61,0.094,0.083,3.0,,24,,,,,,0.0,,,,,,,,,,,,,,12.694,
