"측정소명","년/월/일","회차","수심(m)","수온(℃)","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","클로로필 a(㎎/㎥)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","수소이온농도","페놀류(㎎/L)","전기전도도(μS/㎝)","총대장균군수(총대장균군수/100ml)","카드뮴(㎎/L)","시안(㎎/L)","납(㎎/L)","6가크롬(㎎/L)","비소(㎎/L)","수은(㎎/L)","구리(㎎/L)","아연(㎎/L)","크롬(㎎/L)","니켈(㎎/L)","바륨(㎎/L)","셀레늄(㎎/L)","용존총질소(㎎/L)","암모니아성 질소(㎎/L)","질산성 질소(㎎/L)","용존총인(㎎/L)","인산염인(㎎/L)","SS(㎎/L)","헥사클로로벤젠 (㎍/L)","분원성대장균군수","불소(㎎/L)","색도(㎎/L)","노말헥산추출물질(㎎/L)","용해성망간(㎎/L)","용해성철(㎎/L)","음이온계면활성제(㎎/L)","테트라클로로에틸렌(㎎/L)","테트라클로로에틸렌(㎎/L)","사염화탄소","1.2-디클로로에탄(㎎/L)","디클로로메탄(㎎/L)","벤젠(㎎/L)","폴리크로리네이티트비페닐(㎎/L)","유기인(㎎/L)","안티몬 (㎎/L)","클로로포름 (㎎/L)","디에틸헥실프탈레이트 (㎎/L)","1.4-다이옥세인 (㎎/L)","투명도(m)","유량(㎥/s)","포름알데히드(㎎/L)"
"광산","2020/07/06","2회차","","23.8","6.6","5.5","8.4","25.7","4.065","0.110","6.2","6.9","0.000","274","13000","0.00000","0.00","0.00008","0.000","0.00097","0.0000019","","","","","","","3.914","1.411","1.795","0.070","0.055","10.5","","9000","","","","","","0.00","","","","","","","0.0000","0.0000","0.0002","","","","","20.491",""
"영산포1","2020/07/15","2회차","","20.4","8.3","2.8","9.2","6.2","2.582","0.131","4.7","7.2","정량한계미만","132","20000","","","","","","","","","","","","","2.490","0.365","1.721","0.109","0.085","30.0","","4500","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/07/15","3회차","","20.6","7.4","3.6","6.9","5.7","2.998","0.170","5.0","7.4","0.000","146","70000","","","","","","","","","","","","","2.752","0.520","1.871","0.127","0.116","25.7","","32000","","","","","","","","","","","","","","","","","","","","166.562",""
"영산포1","2020/07/20","3회차","","24.1","7.5","1.7","5.8","17.0","2.724","0.121","3.5","7.3","정량한계미만","182","760","","","","","","","","","","","","","2.564","0.502","1.836","0.086","0.072","13.2","","640","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/07/21","4회차","","25.1","7.4","3.5","6.3","18.6","3.496","0.126","4.6","6.9","0.000","225","21000","","","","","","","","","","","","","3.386","1.132","1.796","0.096","0.083","11.0","","5900","","","","","","","","","","","","","","","","","","","","57.513",""
"영산포1","2020/07/27","4회차","","21.3","8.7","1.1","5.1","6.1","2.189","0.105","2.3","7.4","정량한계미만","142","7600","","","","","","","","","","","","","2.162","0.373","1.564","0.092","0.085","9.6","","3200","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/07/27","5회차","","23.1","7.4","3.1","5.9","6.0","2.769","0.140","3.5","7.0","0.000","162","30000","","","","","","","","","","","","","2.738","0.612","1.739","0.114","0.100","8.0","","10000","","","","","","","","","","","","","","","","","","","","93.862",""
"광산","2020/08/03","1회차","","25.3","6.5","3.9","5.7","5.2","3.169","0.154","4.2","7.6","0.000","182","22000","","","","","","","","","","","","","3.152","0.759","1.880","0.143","0.131","13.7","","5400","","","","","","","","","","","","","","","","","","","","73.294",""
"영산포1","2020/08/03","1회차","","26.2","8.1","2.3","6.6","13.4","2.581","0.114","3.6","7.4","정량한계미만","150","5600","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","","","","","","","2.289","0.313","1.703","0.090","0.084","69.2","","2000","","","","","","정량한계미만","","","","","","","","","정량한계미만","","","","","",""
"영산포1","2020/08/13","2회차","","25.5","9.0","1.5","5.1","1.8","2.649","0.139","2.9","7.2","정량한계미만","131","9600","","","","","","","","","","","","","2.454","0.616","1.483","0.106","0.098","16.0","","4800","","","","","","","","","","","","","","","","","","","","",""
"영산포1","2020/08/18","3회차","","32.4","12.2","5.9","9.2","56.3","2.703","0.097","4.1","9.0","정량한계미만","192","1200","","","","","","","","","","","","","2.542","0.103","1.823","0.039","0.019","15.2","","520","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/08/19","2회차","","29.7","7.9","4.3","7.8","57.5","3.472","0.180","4.5","7.6","0.000","244","41000","0.00000","0.00","0.00003","0.000","0.00085","0.0000000","","","","","","","3.360","1.073","1.736","0.133","0.102","5.7","","4300","","","","","","0.00","","","","","","","","","0.0001","","","","","35.363",""
"광산","2020/08/24","3회차","","29.3","7.0","4.7","8.2","45.3","4.240","0.110","5.0","7.0","0.000","284","45000","","","","","","","","","","","","","3.990","1.658","1.457","0.065","0.038","8.7","","27000","","","","","","","","","","","","","","","","","","","","26.385",""
"영산포1","2020/08/24","4회차","","30.0","9.9","2.9","8.8","23.7","2.859","0.128","3.8","8.0","정량한계미만","242","400","","","","","","","","","","","","","2.480","0.495","1.358","0.080","0.067","9.6","","248","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/09/01","1회차","","28.3","6.1","4.8","8.0","24.1","2.511","0.218","5.2","6.7","0.000","165","78000","","","","","","","","","","","","","2.282","0.540","1.316","0.121","0.101","50.2","","10000","","","","","","","","","","","","","","","","","","","","101.789",""
"영산포1","2020/09/08","1회차","","22.6","6.4","1.5","7.0","5.1","2.167","0.145","3.2","7.2","정량한계미만","129","50000","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","","","","","","","2.129","0.436","1.291","0.112","0.108","42.0","","39000","","","","","","정량한계미만","","","","","","","","","정량한계미만","","","","","",""
"광산","2020/09/08","2회차","","21.5","7.4","3.7","6.4","4.2","2.218","0.172","4.0","7.1","0.000","140","68000","0.00001","0.00","0.00022","0.000","0.00089","0.0000000","","","","","","","2.140","0.378","1.313","0.124","0.110","28.7","0.000","10000","","","","","","0.00","0.000","0.000","0.0000","0.0000","0.0000","0.0000","","","0.0002","0.000","","0.000","","139.753","0.000"
"영산포1","2020/09/14","2회차","","24.2","7.8","1.8","6.0","3.3","2.499","0.139","3.3","7.2","정량한계미만","152","10000","","","","","","","","","","","","","2.430","0.431","1.475","0.110","0.098","11.2","","6400","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/09/14","3회차","","23.3","7.2","3.1","5.4","6.0","2.545","0.144","3.3","7.1","0.000","172","59000","","","","","","","","","","","","","2.501","0.489","1.613","0.111","0.100","9.8","","27000","","","","","","","","","","","","","","","","","","","","81.350",""
"영산포1","2020/09/21","3회차","","22.7","8.2","3.3","6.4","89.4","2.578","0.073","3.2","8.3","정량한계미만","172","1000","","","","","","","","","","","","","2.484","0.086","1.851","0.032","0.017","11.6","","740","","","","","","","","","","","","","","","","","","","","",""
